종목명,년도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(퍼센트),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(퍼센트),자격취득자현황(명)
방사선비파괴검사,2021,전체,636,402,163,40.5,235,205,83,40.5,83
방사선비파괴검사,2021,여자,22,12,5,41.7,9,9,3,33.3,3
초음파비파괴검사,전체,전체,20457,13942,4858,34.8,10809,8532,1654,19.4,2174
초음파비파괴검사,2016(누적),전체,15464,10581,3610,34.1,8176,6411,1322,20.6,1842
초음파비파괴검사,2017,전체,1273,906,237,26.2,611,506,105,20.8,105
초음파비파괴검사,2017,여자,22,19,7,36.8,10,9,0,0,0
초음파비파괴검사,2018,전체,1098,743,205,27.6,514,413,61,14.8,61
초음파비파괴검사,2018,여자,18,15,4,26.7,13,11,3,27.3,3
초음파비파괴검사,2019,전체,971,619,230,37.2,463,368,40,10.9,40
초음파비파괴검사,2019,여자,18,13,4,30.8,11,9,1,11.1,1
초음파비파괴검사,2020,전체,786,548,291,53.1,561,448,75,16.7,75
초음파비파괴검사,2020,여자,17,11,6,54.5,7,6,0,0,0
초음파비파괴검사,2021,전체,865,545,285,52.3,484,386,51,13.2,51
초음파비파괴검사,2021,여자,17,12,7,58.3,10,8,1,12.5,1
자기비파괴검사,전체,전체,20689,13885,5690,41,9977,8411,3478,41.4,3990
자기비파괴검사,2016(누적),전체,15832,10515,4056,38.6,7020,5893,2495,42.3,3007
자기비파괴검사,2017,전체,1227,890,373,41.9,750,655,221,33.7,221
자기비파괴검사,2017,여자,23,18,13,72.2,20,17,9,52.9,9
자기비파괴검사,2018,전체,1114,773,438,56.7,777,656,229,34.9,229
자기비파괴검사,2018,여자,30,26,20,76.9,29,27,10,37,10
자기비파괴검사,2019,전체,967,647,331,51.2,619,510,242,47.5,242
자기비파괴검사,2019,여자,18,14,6,42.9,17,15,6,40,6
자기비파괴검사,2020,전체,637,446,197,44.2,426,370,171,46.2,171
자기비파괴검사,2020,여자,14,12,7,58.3,14,14,7,50,7
자기비파괴검사,2021,전체,912,614,295,48,385,327,120,36.7,120
자기비파괴검사,2021,여자,21,18,11,61.1,12,11,3,27.3,3
침투비파괴검사,전체,전체,28973,19706,8051,40.9,13145,11294,6059,53.6,6543
침투비파괴검사,2016(누적),전체,19530,13062,5172,39.6,8458,7248,3831,52.9,4315
침투비파괴검사,2017,전체,2346,1683,664,39.5,1173,1017,643,63.2,643
침투비파괴검사,2017,여자,60,50,17,34,31,28,17,60.7,17
침투비파괴검사,2018,전체,2322,1710,660,38.6,1039,901,452,50.2,452
침투비파괴검사,2018,여자,44,35,21,60,29,24,14,58.3,14
침투비파괴검사,2019,전체,2015,1436,598,41.6,973,834,514,61.6,514
침투비파괴검사,2019,여자,56,48,27,56.3,40,37,20,54.1,20
침투비파괴검사,2020,전체,1193,822,423,51.5,656,574,312,54.4,312
침투비파괴검사,2020,여자,58,40,30,75,36,31,19,61.3,19
침투비파괴검사,2021,전체,1567,993,534,53.8,846,720,307,42.6,307
침투비파괴검사,2021,여자,55,45,23,51.1,34,32,15,46.9,15
와전류비파괴검사,전체,전체,4024,2799,1466,52.4,2047,1774,882,49.7,978
